method,dataset,sequence,seed,run_id,status,notes,psnr,ssim,lpips,depth_l1_cm,accuracy_cm,mask_type,method_raw_completion_cm,method_raw_completion_ratio
MonoGS,TUM,f1_desk,0,f1_desk_seed_0,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,23.4778,0.7819,0.2491,6.0912,4.26,full,4.6721,62.3109
MonoGS,TUM,f2_person,2,f2_person_seed_2,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,20.2497,0.68,0.3848,24.8159,156.8998,full,17.3326,24.751
MonoGS,TUM,f3_st_hf,0,f3_st_hf_seed_0,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,19.3295,0.7075,0.2964,31.7312,186.234,full,8.1697,39.07
MonoGS,TUM,f3_st_hf,1,f3_st_hf_seed_1,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,18.6573,0.6784,0.3122,37.2767,225.1935,full,8.4434,37.9553
MonoGS,TUM,f3_st_hf,2,f3_st_hf_seed_2,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,19.4461,0.7114,0.29,31.9386,207.1297,full,8.5848,39.2226
MonoGS,TUM,f3_st_rpy,0,f3_st_rpy_seed_0,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,14.5877,0.5015,0.4706,71.1788,257.6664,full,33.0882,32.2744
MonoGS,TUM,f3_st_rpy,1,f3_st_rpy_seed_1,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,14.4037,0.5105,0.4811,88.3151,230.6668,full,28.2809,33.2718
MonoGS,TUM,f3_st_rpy,2,f3_st_rpy_seed_2,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,14.6773,0.5502,0.3949,78.2787,220.3343,full,11.4437,42.9035
MonoGS,TUM,f3_st_xyz,0,f3_st_xyz_seed_0,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,22.1271,0.8055,0.1856,23.9566,351.9832,full,7.1177,52.8828
MonoGS,TUM,f3_st_xyz,1,f3_st_xyz_seed_1,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,22.1505,0.8052,0.1832,22.9106,331.8544,full,6.6885,56.6238
MonoGS,TUM,f3_st_xyz,2,f3_st_xyz_seed_2,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,22.1404,0.8071,0.1838,22.9534,352.2857,full,6.6005,54.3944
MonoGS,TUM,f3_wk_hf,0,f3_wk_hf_seed_0,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,14.4676,0.4913,0.5215,76.7706,212.1437,full,11.9471,24.032
MonoGS,TUM,f3_wk_hf,1,f3_wk_hf_seed_1,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,13.9965,0.4536,0.5882,100.2219,167.0339,full,9.9059,30.9755
MonoGS,TUM,f3_wk_hf,2,f3_wk_hf_seed_2,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,13.0834,0.42,0.605,137.6124,158.4221,full,14.1146,23.158
MonoGS,TUM,f3_wk_rpy,0,f3_wk_rpy_seed_0,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,14.6065,0.5072,0.5393,114.6315,149.9664,full,13.3959,24.6375
MonoGS,TUM,f3_wk_rpy,1,f3_wk_rpy_seed_1,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,14.7818,0.5084,0.5461,106.7912,138.2662,full,12.0036,27.156
MonoGS,TUM,f3_wk_rpy,2,f3_wk_rpy_seed_2,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,14.4165,0.4955,0.5584,110.3466,155.028,full,14.4371,20.982
MonoGS,TUM,f3_wk_xyz,0,f3_wk_xyz_seed_0,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,13.9846,0.43,0.5637,92.2953,115.0502,full,7.2461,49.426
MonoGS,TUM,f3_wk_xyz,1,f3_wk_xyz_seed_1,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,13.5446,0.4028,0.5793,114.8668,96.8034,full,7.2534,46.1085
MonoGS,TUM,f3_wk_xyz,2,f3_wk_xyz_seed_2,OK,TUM has no official GT point cloud; GT point cloud is fused from GT poses and GT depth; sampled 200000; threshold 5cm.,13.7633,0.4073,0.5574,97.8651,99.6213,full,8.3878,39.967
MonoGS,BONN,balloon,0,balloon_seed_0,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,19.2109,0.7634,0.3581,32.6851,115.3552,full,154.8405,1.822
MonoGS,BONN,balloon,1,balloon_seed_1,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,19.1208,0.7671,0.3515,30.1857,118.8023,full,144.5789,1.3725
MonoGS,BONN,balloon,2,balloon_seed_2,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,19.5654,0.7672,0.3589,30.5391,115.7731,full,152.0094,1.3915
MonoGS,BONN,balloon2,0,balloon2_seed_0,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,19.1677,0.7327,0.3697,34.2657,106.7957,full,154.5544,2.24
MonoGS,BONN,balloon2,1,balloon2_seed_1,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,19.0504,0.7342,0.3736,36.0433,109.4168,full,160.7815,1.9725
MonoGS,BONN,balloon2,2,balloon2_seed_2,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,19.2842,0.7416,0.3686,32.6603,108.3124,full,151.9237,1.9075
MonoGS,BONN,crowd,0,crowd_seed_0,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,14.9955,0.6335,0.5834,83.2228,66.3335,full,39.2075,5.183
MonoGS,BONN,crowd,1,crowd_seed_1,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,16.5113,0.6728,0.5098,65.5436,65.0317,full,83.3314,3.2795
MonoGS,BONN,crowd,2,crowd_seed_2,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,16.0096,0.6546,0.5312,74.2033,62.2525,full,41.9256,6.2255
MonoGS,BONN,crowd2,0,crowd2_seed_0,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,17.8327,0.6788,0.4949,63.7722,119.3874,full,95.3262,3.1145
MonoGS,BONN,crowd2,1,crowd2_seed_1,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,16.7208,0.659,0.5045,68.0745,98.3885,full,71.0551,3.08
MonoGS,BONN,crowd2,2,crowd2_seed_2,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,14.9914,0.6054,0.5653,87.3002,130.1795,full,101.2998,3.0285
MonoGS,BONN,mv_no_box,0,mv_no_box_seed_0,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,22.8658,0.8336,0.2561,18.2511,110.7645,full,143.3174,1.644
MonoGS,BONN,mv_no_box,1,mv_no_box_seed_1,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,21.308,0.7988,0.2791,22.2715,110.5138,full,149.8503,2.1055
MonoGS,BONN,mv_no_box,2,mv_no_box_seed_2,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,21.1764,0.7887,0.3203,21.8093,112.4375,full,158.4561,1.746
MonoGS,BONN,mv_no_box2,0,mv_no_box2_seed_0,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,23.7084,0.8522,0.2587,21.6501,85.2089,full,119.2632,1.788
MonoGS,BONN,mv_no_box2,1,mv_no_box2_seed_1,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,21.5484,0.7998,0.3183,26.2078,85.0997,full,114.5215,1.9375
MonoGS,BONN,mv_no_box2,2,mv_no_box2_seed_2,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,23.4398,0.8531,0.2511,21.9138,85.0477,full,104.5511,1.805
MonoGS,BONN,person_t,0,person_t_seed_0,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,18.0099,0.7321,0.4416,41.0077,94.8418,full,94.7099,3.3735
MonoGS,BONN,person_t,1,person_t_seed_1,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,17.0842,0.6957,0.4644,38.4632,116.9945,full,117.0463,1.825
MonoGS,BONN,person_t,2,person_t_seed_2,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,18.3402,0.7246,0.4198,33.8717,109.889,full,101.973,2.0605
MonoGS,BONN,person_t2,0,person_t2_seed_0,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,20.3549,0.7417,0.3762,36.3914,115.8492,full,49.5668,2.9925
MonoGS,BONN,person_t2,1,person_t2_seed_1,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,18.9768,0.7496,0.3811,40.5033,111.3528,full,82.2232,4.5565
MonoGS,BONN,person_t2,2,person_t2_seed_2,OK,BONN GT point cloud rgbd_bonn_groundtruth_1mm_section.ply; aligned with T_g=T_ROS^-1 T_0 T_ROS T_m; sampled 200000; threshold 5cm.,19.7138,0.7384,0.3867,31.2162,119.7858,full,61.428,3.118
